,Media Sources,Tweet Polarity,Positive,Negative,Neutral,Tweets Ago,Date
243,@CNN,0.0,0.0,0.0,1.0,44,Tue Mar 27 02:26:24 +0000 2018
244,@CNN,0.0,0.0,0.0,1.0,45,Tue Mar 27 02:26:24 +0000 2018
245,@CNN,0.5574,0.184,0.0,0.816,46,Tue Mar 27 02:26:23 +0000 2018
246,@CNN,0.0258,0.058,0.0,0.942,47,Tue Mar 27 02:26:23 +0000 2018
247,@CNN,0.4215,0.149,0.0,0.851,48,Tue Mar 27 02:26:23 +0000 2018
248,@CNN,0.0,0.0,0.0,1.0,49,Tue Mar 27 02:26:22 +0000 2018
249,@CNN,0.2263,0.11,0.078,0.813,50,Tue Mar 27 02:26:22 +0000 2018
250,@CNN,0.34,0.198,0.099,0.702,51,Tue Mar 27 02:26:21 +0000 2018
251,@CNN,0.0258,0.139,0.133,0.727,52,Tue Mar 27 02:26:21 +0000 2018
252,@CNN,0.0772,0.088,0.075,0.837,53,Tue Mar 27 02:26:20 +0000 2018
253,@CNN,0.2732,0.412,0.0,0.588,54,Tue Mar 27 02:26:20 +0000 2018
254,@CNN,0.0,0.0,0.0,1.0,55,Tue Mar 27 02:26:20 +0000 2018
255,@CNN,-0.1759,0.204,0.251,0.545,56,Tue Mar 27 02:26:20 +0000 2018
256,@CNN,0.0,0.0,0.0,1.0,57,Tue Mar 27 02:26:19 +0000 2018
257,@CNN,0.0772,0.064,0.0,0.936,58,Tue Mar 27 02:26:17 +0000 2018
258,@CNN,-0.2263,0.0,0.095,0.905,59,Tue Mar 27 02:26:17 +0000 2018
259,@CNN,-0.5255,0.0,0.134,0.866,60,Tue Mar 27 02:26:16 +0000 2018
260,@CNN,0.0,0.0,0.0,1.0,61,Tue Mar 27 02:26:14 +0000 2018
261,@CNN,0.3327,0.154,0.0,0.846,62,Tue Mar 27 02:26:13 +0000 2018
262,@CNN,0.0,0.0,0.0,1.0,63,Tue Mar 27 02:26:11 +0000 2018
263,@CNN,0.4019,0.119,0.0,0.881,64,Tue Mar 27 02:26:11 +0000 2018
264,@CNN,0.0,0.0,0.0,1.0,65,Tue Mar 27 02:26:10 +0000 2018
265,@CNN,0.0,0.0,0.0,1.0,66,Tue Mar 27 02:26:09 +0000 2018
266,@CNN,-0.25,0.12,0.228,0.652,67,Tue Mar 27 02:26:07 +0000 2018
267,@CNN,0.3259,0.145,0.213,0.643,68,Tue Mar 27 02:26:07 +0000 2018
268,@CNN,0.4404,0.182,0.0,0.818,69,Tue Mar 27 02:26:07 +0000 2018
269,@CNN,-0.5423,0.0,0.189,0.811,70,Tue Mar 27 02:26:06 +0000 2018
270,@CNN,0.0,0.0,0.0,1.0,71,Tue Mar 27 02:26:06 +0000 2018
271,@CNN,0.0,0.0,0.0,1.0,72,Tue Mar 27 02:26:05 +0000 2018
272,@CNN,0.3612,0.176,0.113,0.711,73,Tue Mar 27 02:26:05 +0000 2018
273,@CNN,0.4995,0.139,0.0,0.861,74,Tue Mar 27 02:26:04 +0000 2018
274,@CNN,0.0,0.0,0.0,1.0,75,Tue Mar 27 02:26:04 +0000 2018
275,@CNN,0.0,0.0,0.0,1.0,76,Tue Mar 27 02:26:03 +0000 2018
276,@CNN,-0.6808,0.0,0.211,0.789,77,Tue Mar 27 02:26:03 +0000 2018
277,@CNN,0.0,0.0,0.0,1.0,78,Tue Mar 27 02:26:01 +0000 2018
